id,Unnamed: 0,_session,chapters,_soup,authors,categories,nchapters,characters,complete,date_updated,fandoms,hits,comments,kudos,language,rating,relationships,restricted,series,summary,tags,title,warnings,words,expected_chapters,bookmarks
33058204,17.0,,[],,[<User [SmallishWormMasterOfTheUniverse]>],['Gen'],1,[],True,2021-08-06,['The Magnus Archives'],121,11.0,23.0,English,Mature,[],False,[],"
Jon reveals to Martin that he has used the powers of the Eye to learn all the facts about musician Todd Rundgren and now he is completely out of new facts to learn. I'm not tagging this with anything because it has a target audience of one and it's me. Set during season 5, transcript style.
",[],Jon Knows All the Todd Rundgren Facts,['No Archive Warnings Apply'],359,1.0,
32860825,18.0,,[],,[<User [avatarofthewh0re]>],['Other'],1,[],True,2021-07-27,['The Magnus Archives'],83,,11.0,English,Teen And Up Audiences,[],False,[<Series [POV: you're an avatar]>],"
The power that names have is debatable. While perhaps one can live without one, it is the sense of self that they guard that is so cherished. Without one, it’s unclear who you are.ORAn identity thief does an unusual Get Ready With Me, complete with past trauma.
","['Eldritch being possesses reader', 'Canon-Typical The Stranger Content (The Magnus Archives)', 'Dead Dove: Do Not Eat', 'Identity Issues', 'Plastic surgery but make it evil', 'i honestly don’t know what happened here', 'Body Horror', 'No circuses bc I hate clowns', 'Implied/Referenced Suicide', 'It reads a lot like the flesh but I feel like the two entities could be friends', 'Or at least have a mutually beneficial relationship', ""Like the puppets let the meat bags eat what's left over after the performances""]",POV: you’re an avatar of the stranger,['Graphic Depictions Of Violence'],562,1.0,
32547721,19.0,,[],,[<User [CatsBreakfast]>],['Gen'],1,[],True,2021-07-12,['The Magnus Archives'],146,5.0,11.0,English,Explicit,[],False,[],"
""I asked him to tell me what the war looked like""Fanvid/visualisation to episode 7: The Piper. Part fanwork and part exorcism for a series of images that's been stuck in my head since I listened to this episode.
","['Fanvids', 'MAG 7 The Piper', 'Episode Related', 'Adding visuals to a podcast', 'and making everything worse', 'Graphic Violence', 'Gore', 'War']",It Had Three Faces,['Graphic Depictions Of Violence'],107,1.0,1.0
32437831,20.0,,[],,[<User [grinning_cavityyy]>],['M/M'],1,"['Martin Blackwood', 'Jonathan Sims']",True,2021-07-08,['The Magnus Archives'],259,2.0,38.0,English,General Audiences,"['Martin Blackwood & Jonathan ""Jon"" Sims | The Archivist & Reader']",False,[],"
Martin has a nightmare and Jon comforts him.
","['Light Angst', 'Hurt/Comfort', 'Set in Episodes 159-160 | Scottish Safehouse Period (The Magnus Archives)', 'self indulgent jmart', 'how to tag works???', 'Fluff', 'Nightmares', 'Established Relationship', 'He/Him and They/Them Pronouns for Jonathan ""Jon"" Sims | The Archivist', 'Cuddling & Snuggling', 'The Lonely Fear Domain (The Magnus Archives)']",Foggy,['Creator Chose Not To Use Archive Warnings'],695,1.0,4.0
31407452,21.0,,[],,[<User [thewightknight]>],['Gen'],1,"['Stranger Entity Breekon (The Magnus Archives)', 'Stranger Entity Hope (The Magnus Archives)']",True,2021-05-20,"['Hannibal (TV)', 'Hannibal Lecter Series - All Media Types', 'The Magnus Archives']",231,,50.0,English,Teen And Up Audiences,['Stranger Entity Breekon & Stranger Entity Hope (The Magnus Archives)'],False,[<Series [Ridiculous Crossovers Nobody Asked For]>],"
Breekon and Hope had one special repeat customer.
","['Crossovers & Fandom Fusions', ""hannibal's supervillain powers explained"", 'strange deliveries']",Special Deliveries,['Creator Chose Not To Use Archive Warnings'],373,1.0,5.0
31223795,22.0,,[],,[<User [merperson1]>],['M/M'],8,"['Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood']",True,2021-08-30,['The Magnus Archives'],5281,263.0,760.0,English,Teen And Up Audiences,"['Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist']",False,[],"
Somewhere Else, Jon and Martin have decided to host a weekly podcast discussing wonderful things and are Very Married while they do so
","['Post canon', 'Fluff', 'Angst', 'only a lil tho', 'Banter', 'Post MAG 200', 'Somewhere Else']",Wonderful!,['No Archive Warnings Apply'],12875,8.0,169.0
30835967,23.0,,[],,[<User [butchjeanpierrepolnareff]>],['Gen'],1,"['Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood', 'Tim Stoker (The Magnus Archives)', 'Sasha James', 'Cecil Palmer', 'The Mechanisms Ensemble', 'Elias Bouchard', 'Peter Lukas', 'Doug Eiffel', 'Renée Minkowski', 'Gerard Keay', 'Isabel Lovelace', 'Nikola Orsinov', 'Georgie Barker (mentioned)', 'Melanie King (mentioned)', 'Gertrude Robinson', 'Jane Prentiss', '(other characters will be added)', 'Valerio Lundini']",False,2021-04-22,"['The Magnus Archives', 'The Mechanisms (Band)', 'Welcome to Night Vale', 'Wolf 359 (Radio)']",304,1.0,15.0,English,Teen And Up Audiences,"['Jonathan ""Jon"" Sims | The Archivist/Martin Blackwood', 'Sasha James/Tim Stoker', 'The Aurora/Nastya Rasputina']",False,[],"
A patch is something that you can use to fix something, to add content when there's a hole.And that's what this show does: patching the evening when some shows can't be aired due to technical problems with...well, the presenter tries to adapt most of the times.
","['Fake Talk Show Au', 'Crack Without Plot', 'Crack Treated Seriously', 'The Author Regrets Nothing', 'All The Characters Are Playing A Persona', 'OOC', 'Bad Puns', 'Parody', 'Jonathan ""Jon"" Sims | The Archivist Has Parents', 'Crack Crossover']",A Patch Of Sims,['No Archive Warnings Apply'],2163,,1.0
30453678,24.0,,[],,[<User [smilesandsarcasm12]>],['No category'],5,"['Jonathan Sims', 'Martin Blackwood', 'Tim Stoker (The Magnus Archives)', 'Sasha James', 'Melanie King', 'Basira Hussain', 'Elias Bouchard', 'Peter Lukas']",True,2021-05-03,['The Magnus Archives'],199,6.0,11.0,English,Teen And Up Audiences,"['Jonathan Sims/Martin Blackwood', 'Jon/Martin - Relationship', 'Jmart - Relationship']",False,[],"
In which we see most of the events of The Magnus Archives from Martin Blackwood's perspective. But it's also second person POV because I wanted some practice writing that style and this is what happened.This first chapter is Season One. She is very short but don't worry there will be more.Suggested listening: ""A Complete List of Fears Ages 5-28 (Aprox)"" - The Yellow Dress
","['Second person POV', 'Slow Burn', 'Could You Call This Enemies To Lovers?', ""It's all from Martin's perspective"", 'The whole work is MAG spoilers', 'Some things happen out of order', 'just like a little bit for story purposes', 'the main plot is still the same', 'This is gonna be a series', 'So many commas', ""It's all spoilers and angst and I had a lot of fun"", ""Basically the whole story from Martin's perspective"", ""It's my love of Martin Blackwood all wrapped up in some chapters"", 'Spoilers for Magnus 1-5']",What They Won't Tell You,['Creator Chose Not To Use Archive Warnings'],4901,5.0,3.0
30305649,25.0,,[],,[<User [Nyalex (crowpsychology)]>],['Gen'],2,"['OCs', 'Original Fear Entity Avatars (The Magnus Archives)']",False,2021-04-13,"['OCs - Fandom', 'The Magnus Archives', 'SLIGHTLY - Fandom']",20,,2.0,English,General Audiences,[],False,[<Series [KOTV]>],"
Wilbur Wolfe wanted an average life, but that wasn't what he was going to get.
","['Not Beta Read', 'Fluff', 'i guess', 'Angst', 'So much angst', '(not yet though)', 'Monarchy', 'Minor Character Death', 'Character Death']",King of the Vast,['Creator Chose Not To Use Archive Warnings'],2434,,
29686056,26.0,,[],,[<User [ficsbyfiona]>],"['F/F', 'F/M', 'M/M']",2,"['Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood', 'Sasha James', 'Tim Stoker (The Magnus Archives)', 'Georgie Barker', 'Melanie King', 'Elias Bouchard', 'Peter Lukas', 'Basira Hussain', 'Alice ""Daisy"" Tonner']",False,2021-03-04,['The Magnus Archives'],525,15.0,55.0,English,General Audiences,"['Georgie Barker/Melanie King', 'Sasha James/Tim Stoker', 'Elias Bouchard/Peter Lukas', 'Basira Hussain/Alice ""Daisy"" Tonner', 'Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist']",False,[],"
The archival staff at The Magnus Institute were shocked when their boss, Elias Bouchard, announced a team trip to Disneyland.They were even more shocked when they realized he wasn't kidding.Join them on their journey through the domain of Mickey Mouse, while they try to uncover why Elias brought them there in the first place. Hopefully they'll make some memories along the way!
","['fluffy self indulgent Disneyland au', 'Disneyland', 'intersection of both of my major interests rn', ""lmao let's ignore the source material and what is actually happening in tma rn"", 'Alternate Universe - Everyone Lives/Nobody Dies', 'all my favorite tma ships', 'Asexual Jonathan ""Jon"" Sims | The Archivist', 'Martin is an amusement park history buff because I say so', 'Elias made everyone go to Disney for why? read more to find out', 'oh this takes place in loosely season 3 but is not really canon compliant so does it even matter?', 'Jon uses they/them in this because jonbinary rights', 'lonelyeyes is inherent ooc because this ship actually has no canon ground', 'Nonbinary Jonathan ""Jon"" Sims | The Archivist', 'so far no major spoilers', ""they're in California Disneyland because that's the only one I've been to lol""]",When You Wish Upon an Eye,['No Archive Warnings Apply'],6334,,7.0
29682474,27.0,,[],,[<User [CasualCosplay]>],['No category'],1,"['Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood', 'Tim Stoker (The Magnus Archives)', 'Sasha James']",True,2021-02-24,['The Magnus Archives'],1299,2.0,150.0,English,General Audiences,"['Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist']",False,[],"
Under the impression he's just under a lot of stress, Martin doesn't realize he's ill. He passes out. Jon and Tim find him.ORIn Which Lonely Martin Forgets to Fucking Take Care of HimselfSPOILERS: Seasons 3/4 (sort of, just like, if you wanna be safe, mostly in the notes, so if you just skip the beginning notes you should be fine.)*****CW: Illness, Going to work ill, mention of weight loss, loneliness, self-hate, swearing*****
","['Nonbinary Jonathan ""Jon"" Sims | The Archivist', 'Fainting', 'Illness', 'Fever', 'Tea', 'Whump', 'jonmartin', 'Canon LGBTQ Character', 'nonbinary', 'chubby martin', 'Angst', 'Lonliness']",Ceramic Heart,['No Archive Warnings Apply'],1437,1.0,6.0
29630601,28.0,,[],,[<User [orphan_account]>],['Other'],1,"['Logic | Logan Sanders', 'Gertrude Robinson', 'Gerard Keay']",True,2021-02-22,"['Sanders Sides (Web Series)', 'The Magnus Archives']",18,,2.0,English,General Audiences,[],False,[<Series [sanders statements]>],"
Note: Magnus Archives fans, I promise there’s a plot reason I fused Oliver Banks and Gerry KeayLogan: statements of Jack Douglas regarding correspondence with Gertrude Robinson, former head archivist of the Sanders Institute. Original statements taken between 2001 and 2015. Statement recorded 30th June 2017 by Logan Princeton, Head Archivist of the Sanders Institute, London.Statement 1 begins 23rd October 2001.
","['The statement giver for this was nearly called Jack Daniels', 'The End Fear Entity (The Magnus Archives)']",Correspondent.,['Creator Chose Not To Use Archive Warnings'],1839,1.0,
29338800,29.0,,[],,[<User [Kaiel]>],['M/M'],14,"['Jonathan ""Jon"" Sims | The Archivist', 'Martin Blackwood', 'The Doctor (Doctor Who)', ""The Doctor's TARDIS"", 'Elias Bouchard', 'Jonah Magnus', 'Tim Stoker (The Magnus Archives)', 'Sasha James', 'the Marquis du Ferret']",False,2023-09-15,"['The Magnus Archives', 'Doctor Who (2005)']",6925,234.0,431.0,English,General Audiences,['Jon Sims/Martin Blackwood'],False,[<Series [Family is a choice]>],"
Jon had been doing well, he’s lived with Martin and the Doctor for a year now, and he was finally starting to recover from his time at the Institute. Too bad he slipped through a crack in reality. Lost and far from home- Jon is anything but alone. This one gets a little darker folks, but as always I promise a happy ending.I’d recommend reading the first story in this series (Biology 101) if you want it to make sense.
","['Canon Typical Apocalypse', 'Archivist Sasha James', 'Time Travel', 'Dimension Travel', 'Angst', 'Hurt/Comfort']",Until the World Ends (again),['Creator Chose Not To Use Archive Warnings'],34099,,52.0
29207058,30.0,,[],,[<User [eliasboochard]>],['M/M'],1,"['Peter Lukas', 'Elias Bouchard', 'Martin Blackwood (mentioned)']",True,2021-02-04,['The Magnus Archives'],476,4.0,78.0,English,Teen And Up Audiences,['Elias Bouchard/Peter Lukas'],False,[],"
Inspired by @Lua_It on twitter's Selkie Peter art!!! Some selkie Peter shenanigans!
","['Selkie AU', 'Fluff', 'Inspired by Fanart', 'self indulgent fic']",Washed Up,['No Archive Warnings Apply'],1367,1.0,7.0
29203185,31.0,,[],,[<User [Sleepy_Hypnos]>],['No category'],1,"['Elias Bouchard | Jonah Magnus', 'Jonah Magnus', 'Mordechai Lukas', 'Jonathan ""Jon"" Sims | The Archivist']",True,2021-02-04,['The Magnus Archives'],83,,7.0,English,Teen And Up Audiences,[],False,[],"
Jonah Magnus has lived a life of many. Now, he finds himself at the end of it. (SPOILERS FOR 192)
","['Immortality', 'Fear of Death', 'Canon-Typical Behavior', 'Pre-Canon']",Thanatophobia,['Creator Chose Not To Use Archive Warnings'],854,1.0,
28992168,32.0,,[],,[<User [AceOfRoses]>],['M/M'],1,"['Martin Blackwood', 'Jonathan ""Jon"" Sims | The Archivist']",True,2021-01-26,['The Magnus Archives'],964,17.0,159.0,English,General Audiences,"['Martin Blackwood/Jonathan ""Jon"" Sims | The Archivist']",False,[],"
Martin knows today is going to be a bad day, but that's ok. He has ways of dealing. Only problem is, he's not alone.Martin attempts to hide his bad day from Jon and is unsuccessful
","['Martin has a bad day', 'Hurt/Comfort', 'Jon Sims can comfort people!', 'Anxiety/bad body image', 'First work - Freeform', ""I don't know if I'm doing this right but I'm gonna try"", 'scottish safehouse period', 'Martin get better coping mechanisms challenge', 'plus-size Martin', 'projecting onto jmart hours']",Rules for engagement,['No Archive Warnings Apply'],1460,1.0,5.0
27691508,33.0,,[],,[<User [PossiblyHuman]>],['M/M'],1,"['Peter Lukas', 'Simon Fairchild', 'Elias Bouchard']",True,2020-11-27,['The Magnus Archives'],333,3.0,54.0,English,Teen And Up Audiences,"['Elias Bouchard/Peter Lukas', 'Simon Fairchild & Peter Lukas']",False,[],"
Peter wants to pull away.Peter wants to break these relationships away from himself and curl back into the ice. He doesn’t want Simon’s chipping away. He doesn’t want Elias’ melting touches.
","['Introspection', 'this was going to be for something but i dont remember what']",Company is the Worst Torture,['Creator Chose Not To Use Archive Warnings'],866,1.0,5.0
